Error,Word
আ ফ ত া ভ া,আ ফ ত া ব া
অ ফ র ি জ ্ ঞ া ত,অ প র ি জ ্ ঞ া ত
অ ত ষ ত,অ ত শ ত
অ ণ ু র ো ধ ্,অ ন ু র ো ধ ্
অ ন ্ ত র ্ ভ ে দ ি,অ ন ্ ত র ্ ব ে দ ি
অ ছ ো ল ি ত ো,অ চ ো ল ি ত ো
অ ভ ি ম া ণ ী,অ ভ ি ম া ন ী
অ ষ ু র প ু র ে,অ স ু র প ু র ে
অ ণ ু ব ্ র ঝ ি,অ ন ু ব ্ র জ ি
অ ফ র ্ ণ া,অ প র ্ ণ া
অ ণ া ম া,অ ন া ম া
অ ্ ঝ া স ্ ট ্ র ণ ম ি,অ ্ য া স ্ ট ্ র ন ম ি
অ র ্ থ ফ র,অ র ্ থ প র
অ ব ো জ ্,অ ভ ো জ ্
অ ন ্ ত ্ র ফ থ ে,অ ন ্ ত ্ র প থ ে
অ ন ্ ধ র ে,অ ন ্ দ র ে
অ ণ ্ ত র া য়,অ ন ্ ত র া য়
অ গ ্ র া হ ্ ঝ ক র ণ,অ গ ্ র া হ ্ য ক র ণ
আ প া ধ,আ প া দ
অ ঙ ্ গ া ব র ন,অ ঙ ্ গ া ব র ণ
অ ক ্ শ র ফ র ি চ য়,অ ক ্ ষ র প র ি চ য়
অ ষ ্ থ ি গ ত,অ স ্ থ ি গ ত
অ ত ি থ ি ফ র া য় ণ,অ ত ি থ ি প র া য় ণ
আ দ ে স দ া ণ ক া র ী,আ দ ে শ দ া ন ক া র ী
অ ্ য া ম ভ া ষ ্ য া ড া র,অ ্ য া ম ব া স ্ য া ড া র
অ শ ্ ভ স ্ ত ি ব ো দ,অ স ্ ব স ্ ত ি ব ো ধ
অ ষ ে ষ ত ্ ব,অ শ ে ষ ত ্ ব
অ ম ্ ল ষ ্ ভ া দ,অ ম ্ ল স ্ ব া দ
অ খ ্ জ া ত ি র,অ খ ্ য া ত ি র
অ ন ব ি য ্ ঞ ত া,অ ন ভ ি জ ্ ঞ ত া
আ ভ া র,আ ব া র
আ ক ভ ্ ব র ি,আ ক ব ্ ব র ি
অ ষ থ গ া ছ,অ শ থ গ া ছ
অ ফ ্ র া ছ ু র ্ য,অ প ্ র া চ ু র ্ য
অ ঝ ্ ঞ ে য় ব া ধ ী,অ জ ্ ঞ ে য় ব া দ ী
অ ধ ো ব া গ,অ ধ ো ভ া গ
আ প ি ঙ ে র,আ ফ ি ঙ ে র
অ ফ র ি শ ে া ধ ি ত,অ প র ি শ ে া ধ ি ত
অ ম র ্ ত ্ জ,অ ম র ্ ত ্ য
অ প ণ ো ধ ক,অ প ন ো দ ক
অ ক ্ ল ি স ্ ট ো,অ ক ্ ল ি শ ্ ট ো
আ ণ ত ে,আ ন ত ে
আ ঁ ক ভ া র,আ ঁ ক ব া র
আ দ প া গ ল া,আ ধ প া গ ল া
অ দ ি ক ত,অ ধ ি ক ত
আ জ া ধ ্,আ জ া দ ্
অ র ো স ি ক ্,অ র ো শ ি ক ্
অ ভ ি ষ ম ্ ফ া ত ে র,অ ভ ি স ম ্ প া ত ে র
অ ং স ী দ া র ে র,অ ং শ ী দ া র ে র
আ ত ্ ম ো ফ ম,আ ত ্ ম ো প ম
অ ব ি ষ ে ছ ন,অ ভ ি ষ ে চ ন
অ য শ ্,অ জ শ ্
অ ণ ্ ন ব শ ্ ত ্ র,অ ন ্ ন ব স ্ ত ্ র
অ ল ঙ ্ ক া র া ধ ি ত ে,অ ল ঙ ্ ক া র া দ ি ত ে
অ ত ি ম া ন ভ,অ ত ি ম া ন ব
অ ভ ি ক া র,অ ব ি ক া র
অ শ ণ া য় ী,অ শ ন া য় ী
অ র ্ হ ণ ্,অ র ্ হ ন ্
অ গ ্ র ভ া গ ব ি স ি স ্ ট,অ গ ্ র ভ া গ ব ি শ ি ষ ্ ট
অ ছ প ল,অ চ প ল
অ ম ণ ্ থ র,অ ম ন ্ থ র
অ ত ো এ ভ,অ ত ো এ ব
আ ধ ি ফ ত ্ য ঈ,আ ধ ি প ত ্ য ই
অ র ্ ধ ব ু য,অ র ্ ধ ভ ু জ
অ ঙ ্ ক ণ জ ো গ ্ য,অ ঙ ্ ক ন য ো গ ্ য
অ ব ি ণ য় ্,অ ব ি ন য় ্
আ ং ষ ি ক,আ ং শ ি ক
অ ভ স ্ থ া র,অ ব স ্ থ া র
আ ক র ্ ষ ন ী,আ ক র ্ ষ ণ ী
অ র ্ থ ক ৃ ছ ্ ছ ্ র,অ র ্ থ ক ৃ চ ্ ছ ্ র
অ র ্ দ ্ দ ে ক,অ র ্ দ ্ ধ ে ক
অ ভ ি ন য় ী,অ ব ি ন য় ী
অ ং ষ ফ ল ক া শ ্ থ ি,অ ং স ফ ল ক া স ্ থ ি
আ প া ত ধ ৃ শ ্ ট ি ত ে,আ প া ত দ ৃ ষ ্ ট ি ত ে
আ ধ ে ষ দ া ন,আ দ ে শ দ া ন
আ ত ্ ম র ূ ফ,আ ত ্ ম র ূ প
অ ব ৃ ষ ্ ট ি শ ং র ম ্ ব,অ ব ৃ ষ ্ ট ি স ং র ম ্ ভ
অ ত ি দ ু র ্ ভ ল,অ ত ি দ ু র ্ ব ল
অ ঘ ো র ফ ন ্ থ ি,অ ঘ ো র প ন ্ থ ি
অ ফ ্ র চ ল ি ত,অ প ্ র চ ল ি ত
অ ব ্ য ভ ি ছ া র,অ ব ্ য ভ ি চ া র
অ র ক ্ শ ি ত,অ র ক ্ ষ ি ত
অ ্ য া ল া ছ ্,অ ্ য া ল া চ ্
আ ণ ু ষ ঙ ্ গ ি ক,আ ন ু ষ ঙ ্ গ ি ক
অ ম ঙ ্ গ ল ্ জ,অ ম ঙ ্ গ ল ্ য
আ ব া য ু ক ্ ত,আ ভ া য ু ক ্ ত
অ ণ ্ ত র া ল,অ ন ্ ত র া ল
অ ণ া ক র ্ ষ ণ ী য়,অ ন া ক র ্ ষ ণ ী য়
অ র ্ ব ু ধ,অ র ্ ব ু দ
অ প ্ র শ ণ ্ ন ত া,অ প ্ র স ন ্ ন ত া
অ র ্ য ক,অ র ্ জ ক
অ ত ি ম া ন ভ ি ক,অ ত ি ম া ন ব ি ক
অ র ্ থ গ ৌ র ভ,অ র ্ থ গ ৌ র ব
অ ভ হ ে ল ে,অ ব হ ে ল ে
আ ত ্ ম ো ফ ক া র ি ণ ী,আ ত ্ ম ো প ক া র ি ণ ী
অ স দ া ছ া র,অ স দ া চ া র
আ ত ্ ম ঘ া ত ি ণ ী,আ ত ্ ম ঘ া ত ি ন ী
অ ব শ ্ য শ ্ ত ব,অ ব শ ্ য স ্ ত ব
অ শ ণ ি ফ া ত,অ শ ন ি প া ত
অ ফ ো র ি ফ ো ন ্,অ প ো র ি প ো ন ্
আ ন ্ ড ী র,আ ণ ্ ড ী র
অ ষ ণ ্ দ ি হ া ন ছ ি ত ্ ত ে,অ স ন ্ দ ি হ া ন চ ি ত ্ ত ে
অ ষ ্ ব া র ূ ঢ় া,অ শ ্ ব া র ূ ঢ় া
অ ভ া ভ হ ে ত ু,অ ভ া ব হ ে ত ু
অ ভ গ ত,অ ব গ ত
অ ব ি ন ন ্ দ ন,অ ভ ি ন ন ্ দ ন
আ প ল া,আ ফ ল া
অ ষ া ম র ি ক,অ স া ম র ি ক
আ গ ু ধ ল,আ গ ু দ ল
অ ঙ ্ গ ণ া,অ ঙ ্ গ ন া
অ ্ জ া ট ো র ্,অ ্ য া ট ো র ্
আ ঈ ম া,আ ই ম া
আ গ ম ণ ক া র ী,আ গ ম ন ক া র ী
অ ঙ ্ গ চ ্ চ ে দ,অ ঙ ্ গ চ ্ ছ ে দ
আ এ ভ ্,আ এ ব ্
অ ত ু ছ ্ চ,অ ত ু চ ্ চ
অ ব ত ী র ্ ন,অ ব ত ী র ্ ণ
অ ন ু র ো দ ক ৃ ত,অ ন ু র ো ধ ক ৃ ত
অ ণ ্ ত র আ ত ্ ম া,অ ন ্ ত র আ ত ্ ম া
অ স ু র ণ া ষ ি ন ী,অ স ু র ন া শ ি ন ী
অ ণ ু ন য়,অ ন ু ন য়
অ ণ ু ভ ভ া,অ ন ু ভ ব া
অ ফ র ি ব র ্ ত ি ত,অ প র ি ব র ্ ত ি ত
অ ণ ু ম ি ত,অ ন ু ম ি ত
অ ন ্ ঝ র া,অ ন ্ য র া
অ ফ র া ভ ূ ত া,অ প র া ভ ূ ত া
অ ম ু শ ল ি ম,অ ম ু স ল ি ম
আ ঝ া ন,আ জ া ন
আ ন ্ দ ি য় া র ্,আ ন ্ ধ ি য় া র ্
অ ন ্ দ ি ক া,অ ন ্ ধ ি ক া
অ ভ ে দ ণ ী য়,অ ব ে দ ন ী য়
অ ণ ি ছ ্ ছ া,অ ন ি চ ্ ছ া
আ ঙ ু ণ,আ ঙ ু ন
অ ণ ু ত ্ ত ী,অ ন ু ত ্ ত ী
অ ্ ঝ া স,অ ্ য া স
অ র ্ দ া ব শ ি শ ্ ট,অ র ্ ধ া ব শ ি ষ ্ ট
অ ঝ ো ণ ি স ম ্ ভ ূ ত া,অ য ো ন ি স ম ্ ভ ূ ত া
অ ণ ু গ ত,অ ন ু গ ত
আ ন ন ্ ধ শ ূ চ ক,আ ন ন ্ দ স ূ চ ক
অ ফ স র ন,অ প স র ণ
আ ফ ত ্ ত ি ক র,আ প ত ্ ত ি ক র
আ খ ি ঁ ক ো ন,আ খ ি ঁ ক ো ণ
অ ব ণ ত ি,অ ব ন ত ি
আ ন ু ক ূ ল ্ য ব ষ ত,আ ন ু ক ূ ল ্ য ব শ ত
অ ব ে দ ী,অ ভ ে দ ী
অ ণ ু শ ণ ্ ধ া ন ক া র ্ য,অ ন ু স ন ্ ধ া ন ক া র ্ য
অ থ র ্ ভ ভ ে দ,অ থ র ্ ব ব ে দ
অ ্ জ া ল া র ্,অ ্ য া ল া র ্
অ ন ু স ্ ঠ া ন া দ ি,অ ন ু ষ ্ ঠ া ন া দ ি
অ ষ া ড় ত া,অ স া ড় ত া
অ হ ্ র শ ্ ব ী ব ূ ত,অ হ ্ র স ্ ব ী ভ ূ ত
অ ণ ো ট ন ্,অ ন ো ট ন ্
আ ঊ ড় ্ য া,আ উ ড় ্ য া
আ ঞ ্ জ ি ণ ে য়,আ ঞ ্ জ ি ন ে য়
আ ত ্ ম ফ র ি জ ণ,আ ত ্ ম প র ি জ ন
অ দ ী ত,অ ধ ী ত
আ জ য় ধ,আ জ য় দ
অ ন ্ য ব া ভ,অ ন ্ য ভ া ব
অ প ্ র া শ ঙ ্ গ ি ক,অ প ্ র া স ঙ ্ গ ি ক
অ র ্ ভ া চ ্,অ র ্ ব া চ ্
আ ভ ি শ ি ন ি য় া,আ ব ি স ি ন ি য় া
অ ণ া গ ্,অ ন া গ ্
অ হ ম ্ ভ া ভ,অ হ ম ্ ভ া ব
আ ধ ে শ ফ া ল ক,আ দ ে শ প া ল ক
অ ভ চ য়,অ ব চ য়
অ ফ ো গ া,অ প ো গ া
অ ণ ু চ ি ত,অ ন ু চ ি ত
আ দ ি ব ূ ত া,আ দ ি ভ ূ ত া
অ ব ি ষ ্,অ ব ি স ্
অ ত ্ জ স ্ ত,অ ত ্ য স ্ ত
অ হ ঙ ্ ক া র স ূ ছ ক,অ হ ঙ ্ ক া র স ূ চ ক
আ ত া ঊ র,আ ত া উ র
আ চ ি স,আ ছ ি স
অ ফ শ ্ র ু ত ি,অ প শ ্ র ু ত ি
অ ভ ত ত,অ ব ত ত
অ ন া র ভ ্,অ ন া র ব ্
অ ব স ি শ ্ ট া ং শ,অ ব শ ি ষ ্ ট া ং শ
অ ক ষ ্ ম া ত ে র,অ ক স ্ ম া ত ে র
অ ণ ণ ্ য ম ন া,অ ন ন ্ য ম ন া
অ ন ু প জ ু ক ্ ত,অ ন ু প য ু ক ্ ত
অ ণ ো ন ু ক ম ্,অ ন ো ন ু ক ম ্
অ ষ হ ণ শ ী ল,অ স হ ন শ ী ল
অ ম ্ ল া ধ ি র,অ ম ্ ল া দ ি র
আ ত ্ ত ী ক র ন,আ ত ্ ত ী ক র ণ
আ দ ্ য া ত ্ ম ত ত ্ ত ্ ভ ভ ি দ,আ ধ ্ য া ত ্ ম ত ত ্ ত ্ ব ব ি দ
অ গ ব ী র ত া,অ গ ভ ী র ত া
আ ই উ ভ ে র,আ ই উ ব ে র
অ ত ্ য া ণ ু র া গ,অ ত ্ য া ন ু র া গ
অ ম ্ ব ঃ,অ ম ্ ভ ঃ
অ ণ ু শ ূ র ্ য,অ ন ু স ূ র ্ য
অ ধ ঃ ফ ত ি ত,অ ধ ঃ প ত ি ত
অ য য় ্,অ জ য় ্
অ ছ ূ র ্ ণ,অ চ ূ র ্ ণ
আ চ ্ চ া ধ ন ী য়,আ চ ্ ছ া দ ন ী য়
অ য ু গ ত ো ্,অ জ ু গ ত ো ্
অ থ ি ণ ্,অ থ ি ন ্
অ প ্ র ত ি হ া র ্ জ,অ প ্ র ত ি হ া র ্ য
আ ণ ু ষ ঙ ্ গ ি ক ে র,আ ন ু ষ ঙ ্ গ ি ক ে র
আ য ি ব ো ণ ্,আ জ ি ব ো ন ্
অ ক ্ ষ ু ্ ন ্ ন,অ ক ্ ষ ু ্ ণ ্ ন
অ ব য় ে,অ ভ য় ে
আ ছ ম ন,আ চ ম ন
অ ফ স ৃ ত,অ প স ৃ ত
আ দ ে শ ্ ট ্ র ী,আ দ ে ষ ্ ট ্ র ী
আ ট ফ ে জ ি,আ ট প ে জ ি
অ ণ ্ ত র ্ ন ি হ ি ত,অ ন ্ ত র ্ ন ি হ ি ত
আ ণ ্ ত র ্ জ া ত ি ক,আ ন ্ ত র ্ জ া ত ি ক
অ প ৌ র ু শ ে য়,অ প ৌ র ু ষ ে য়
আ ক ্ র ম ন া ত ্ ম ক,আ ক ্ র ম ণ া ত ্ ম ক
অ ব ি ব া ব ি ক া,অ ভ ি ভ া ব ি ক া
অ ভ স া ন ফ ্ র া ফ ্ ত,অ ব স া ন প ্ র া প ্ ত
অ দ ্ য া হ ৃ ত,অ ধ ্ য া হ ৃ ত
আ চ ্ চ া দ হ ী ণ,আ চ ্ ছ া দ হ ী ন
আ গ ্ র হ ো ধ ্ দ ী ফ ্ ত,আ গ ্ র হ ো দ ্ দ ী প ্ ত
আ ই হ ত ্ ভ,আ ই হ ত ্ ব
অ ম ৃ ত ব া ষ ী,অ ম ৃ ত ভ া ষ ী
অ স ম া ফ ্ ত,অ স ম া প ্ ত
অ হ ি ং শ ক,অ হ ি ং স ক
অ ব র ে ষ,অ ব র ে শ
অ ন ু দ ্ জ া ন,অ ন ু ধ ্ য া ন
আ ঠ া শ ং য ু ক ্ ত,আ ঠ া স ং য ু ক ্ ত
আ ধ ম ে,আ দ ম ে
অ ণ ন ্ ত ল ো ক,অ ন ন ্ ত ল ো ক
আ ঊ ন ্,আ উ ন ্
অ ত ি ব ৃ শ ্ ট ি,অ ত ি ব ৃ ষ ্ ট ি
অ ্ ঝ া ল য ে ব ্ র া র,অ ্ য া ল জ ে ব ্ র া র
অ ছ ে ষ ্ ট ি ত,অ চ ে ষ ্ ট ি ত
অ জ ো গ ব া হ,অ য ো গ ব া হ
অ ণ ু ছ ি ক ী র ্ ষ ু,অ ন ু চ ি ক ী র ্ ষ ু
অ ভ ি র ল ্,অ ব ি র ল ্
অ শ ম ঞ ্ ঝ স,অ স ম ঞ ্ জ স
অ ব ি ব া শ ন,অ ভ ি ব া স ন
অ ল ক ্ শ ্ ম ী,অ ল ক ্ ষ ্ ম ী
অ ন দ ্ জ া য়,অ ন ধ ্ য া য়
আ গ ্ ণ ে য়,আ গ ্ ন ে য়
অ ব য় া,অ ভ য় া
অ ফ া ন ্,অ প া ন ্
অ শ ি স ্ ট ত া,অ শ ি ষ ্ ট ত া
অ ণ ্ ধ ক া র ট া,অ ন ্ ধ ক া র ট া
অ গ ্ ণ ি ষ ং স ্ ক া র া র ্ থ,অ গ ্ ন ি স ং স ্ ক া র া র ্ থ
অ ষ ত ্ য ে র,অ স ত ্ য ে র
অ ষ ্ র ু ম ু খ ী,অ শ ্ র ু ম ু খ ী
আ ন ্ দ ল া,আ ন ্ ধ ল া
অ স ্ ত ্ জ র ্ থ ক,অ স ্ ত ্ য র ্ থ ক
অ স ্ র া ব ্ য,অ শ ্ র া ব ্ য
অ ব ি ণ য়,অ ব ি ন য়
অ শ ্ ত ম ন,অ স ্ ত ম ন
আ ঈ ণ ব ি ধ ্ য া,আ ই ন ব ি দ ্ য া
অ ং শ া ভ ত া র,অ ং শ া ব ত া র
অ র ণ ্ ধ ণ,অ র ন ্ ধ ন
আ ব া ম য়,আ ভ া ম য়
অ চ ্ চ ু ৎ,অ চ ্ ছ ু ৎ
আ খ ে ঝ ্,আ খ ে জ ্
অ খ ো ণ ্,অ খ ো ন ্
অ র ্ থ ন ী ত ি ভ ি ধ,অ র ্ থ ন ী ত ি ব ি দ
অ ব ম া ণ ্,অ ব ম া ন ্
অ ভ ি ম ৃ ষ ্ জ ক া র ী,অ ব ি ম ৃ ষ ্ য ক া র ী
অ ভ ি ণ ্ ণ ত ্ ব,অ ভ ি ন ্ ন ত ্ ব
অ ণ ্ ত ্ র ে র,অ ন ্ ত ্ র ে র
অ ষ য ্ জ ন,অ স জ ্ জ ন
আ ত ্ ম শ র ্ ভ স ্ ব,আ ত ্ ম স র ্ ব স ্ ব
অ ষ ম য় ো চ ি ত,অ স ম য় ো চ ি ত
আ ঈ ল ে,আ ই ল ে
আ ণ ্ ড া ভ া ছ ্ ছ া,আ ণ ্ ড া ব া চ ্ চ া
অ ফ ট ু ত া,অ প ট ু ত া
অ ক র ্ ক স,অ ক র ্ ক শ
আ ণ ম ো ন ্,আ ন ম ো ন ্
অ দ ঃ ক ্ শ ে প ণ,অ ধ ঃ ক ্ ষ ে প ণ
অ ল ধ ্,অ ল দ ্
অ ন ্ ত র ্ ব ে ধ ন া,অ ন ্ ত র ্ ব ে দ ন া
অ প স া র ন ে র,অ প স া র ণ ে র
অ ণ ্ ঢ ি ল,অ ণ ্ ড ি ল
আ ত ্ ন ী য় ভ ি হ ী ন,আ ত ্ ন ী য় ব ি হ ী ন
অ ম র ্ য া ধ া,অ ম র ্ য া দ া
আ ই ণ ট া,আ ই ন ট া
অ প ি ষ,অ প ি স
আ ক ৃ শ ্ ট,আ ক ৃ ষ ্ ট
অ গ ্ ণ ি ম ূ র ্ ত ি,অ গ ্ ন ি ম ূ র ্ ত ি
অ ণ ে ক খ া ন ি,অ ন ে ক খ া ন ি
অ হ ো ফ ্,অ হ ো প ্
অ ণ ূ ঢ় ী,অ ন ূ ঢ় ী
অ ষ ্ থ ি স া র,অ স ্ থ ি স া র
আ ন ্ ভ ি ক ্ ষ ি ক ী,আ ন ্ ব ি ক ্ ষ ি ক ী
অ ণ ্ ত র া ল ে,অ ন ্ ত র া ল ে
অ স ু জ ো গ ্,অ শ ু জ ো গ ্
অ ব ি জ ি ৎ,অ ভ ি জ ি ৎ
অ দ র ্ ম ভ য় ে,অ ধ র ্ ম ভ য় ে
অ র ি ণ ি,অ র ি ন ি
অ ণ া ল ো চ ো ণ ি য় ো,অ ন া ল ো চ ো ন ি য় ো
অ ক ফ ট ত া,অ ক প ট ত া
আ ঈ য় া ম ্,আ ই য় া ম ্
আ দ র ফ ্ র া ফ ্ ত া,আ দ র প ্ র া প ্ ত া
অ ম ো ল ি ণ ্,অ ম ো ল ি ন ্
অ ব ধ ম ি ত,অ ব দ ম ি ত
অ ভ ো ল া,অ ব ো ল া
অ ফ র ি ম া র ্ জ ন,অ প র ি ম া র ্ জ ন
অ প ভ া দ ে র,অ প ব া দ ে র
আ দ ্ য ঝ ্ ঞ া ণ,আ দ ্ য জ ্ ঞ া ন
অ ন ু ধ ্ ঘ া ত ি ন ী,অ ন ু দ ্ ঘ া ত ি ন ী
অ দ ম ে র,অ ধ ম ে র
আ জ ি ভ,আ জ ি ব
অ ণ ্ য া য় ভ ো ভ ে,অ ন ্ য া য় ভ ো ব ে
আ ঈ য় ো,আ ই য় ো
অ থ ব ্ জ া থ ে,অ থ ব ্ য া থ ে
আ ধ ে খ ্,আ দ ে খ ্
অ গ ন ন,অ গ ণ ন
অ ষ ত র ্ ক ত া র,অ স ত র ্ ক ত া র
অ শ ্ ত ্ র া ঘ া ত ে,অ স ্ ত ্ র া ঘ া ত ে
অ ণ ী হ া,অ ন ী হ া
অ ষ ্ ব ব া হ,অ শ ্ ব ব া হ
অ ল ্ ফ া হ া র,অ ল ্ প া হ া র
অ ধ র ৌ শ ্ ঠ,অ ধ র ৌ ষ ্ ঠ
আ ও য় া ঝ য ু ক ্ ত,আ ও য় া জ য ু ক ্ ত
আ ত ্ ম ল ী ণ,আ ত ্ ম ল ী ন
অ দ ্ র ু ব,অ ধ ্ র ু ব
অ ন ে ক ভ ি দ,অ ন ে ক ব ি ধ
অ ং ষ ট া,অ ং শ ট া
অ স ূ র ্ জ ম ্ প স ্ জ,অ স ূ র ্ য ম ্ প শ ্ য
অ র ঝ স ্ ক া,অ র জ স ্ ক া
আ ছ া র ্ য া,আ চ া র ্ য া
অ য া ছ ি ত ভ া ব ে,অ য া চ ি ত ভ া ব ে
অ ণ া দ ৃ ত া,অ ন া দ ৃ ত া
অ ত ি থ ি ণ ী,অ ত ি থ ি ন ী
অ ণ ্ ত ঃ ক ক ্ ষ,অ ন ্ ত ঃ ক ক ্ ষ
অ ভ ল ী ল া,অ ব ল ী ল া
অ ণ া গ ত,অ ন া গ ত
অ ফ া র ে ট র,অ প া র ে ট র
অ ম া ণ ব,অ ম া ন ব
অ ন ্ ঢ ক ো ষ,অ ণ ্ ড ক ো ষ
অ ণ ্ ত র ্ ভ ূ ক ্ ত ি র,অ ন ্ ত র ্ ভ ূ ক ্ ত ি র
অ ধ ক ্ ষ,অ দ ক ্ ষ
অ ভ ি ভ ে চ ক,অ ব ি ব ে চ ক
আ ত ফ া ণ ্ ন,আ ত প া ন ্ ন
অ ণ ্ ত র ি ক ্ ষ,অ ন ্ ত র ি ক ্ ষ
অ ভ ি জ ো গ ক া র ী,অ ভ ি য ো গ ক া র ী
অ ফ া ঙ ্,অ প া ঙ ্
অ ণ ু চ ্ ছ ে ধ,অ ণ ু চ ্ ছ ে দ
অ ফ দ ে ব ত া র,অ প দ ে ব ত া র
আ ণ ু ম ত ী,আ ন ু ম ত ী
আ ধ া য় ী,আ দ া য় ী
অ ভ য় ভ হ ী ন,অ ব য় ব হ ী ন
অ ফ দ ে ভ ত া,অ প দ ে ব ত া
অ গ ্ ন ি ত া ফ ে,অ গ ্ ন ি ত া প ে
অ স ং স ো ধ ণ ী য়,অ স ং শ ো ধ ন ী য়
আ ফ ্ ত ি,আ প ্ ত ি
অ ণ ু ভ ূ ত ি প ূ র ্ ন,অ ন ু ভ ূ ত ি প ূ র ্ ণ
অ ঙ ্ ক ফ া ত,অ ঙ ্ ক প া ত
অ ন ্ ত ঃ ফ ু র ত ্ ভ প ্ র া প ্ ত,অ ন ্ ত ঃ প ু র ত ্ ব প ্ র া প ্ ত
অ ত ি থ ি ফ ্ র ি য়,অ ত ি থ ি প ্ র ি য়
আ দ ম শ ু র া ত,আ দ ম স ু র া ত
অ ছ ি ণ ্ ত ন ী য় া,অ চ ি ন ্ ত ন ী য় া
অ ক ্ শ ম ে র,অ ক ্ ষ ম ে র
অ ল শ ত া,অ ল স ত া
আ ধ ম শ ু ম া র ি,আ দ ম শ ু ম া র ি
অ ভ ি র ো ধ,অ ব ি র ো ধ
অ শ ্ ত গ া ম ী,অ স ্ ত গ া ম ী
আ চ র ন ে,আ চ র ণ ে
অ ণ ু স ্ ঠ া ন ব ি শ ে শ,অ ন ু ষ ্ ঠ া ন ব ি শ ে ষ
অ র ু ন ে র,অ র ু ণ ে র
আ ভ া স জ ু ক ্ ত,আ ভ া স য ু ক ্ ত
অ ম ্ ব ো জ,অ ম ্ ভ ো জ
আ য ্ ঞ া ল ি প ি,আ জ ্ ঞ া ল ি প ি
অ ন ু শ ্ ঠ া ত ্ র ী,অ ন ু ষ ্ ঠ া ত ্ র ী
অ ত ি ষ া ম া ণ ্ য,অ ত ি স া ম া ন ্ য
অ ষ ্ ট ্ র ে ল ী য়,অ স ্ ট ্ র ে ল ী য়
অ ভ ল ্,অ ব ল ্
অ র য া,অ র জ া
অ ব ণ য় ণ,অ ব ন য় ন
অ প ভ া ধ হ ী ন,অ প ব া দ হ ী ন
অ র ্ দ দ গ ্ দ,অ র ্ ধ দ গ ্ ধ
অ ব শ ্ থ া য়,অ ব স ্ থ া য়
অ ষ ম য় ে র,অ স ম য় ে র
আ ণ ি স,আ ন ি স
অ র ্ ধ ভ ্ য ঞ ্ জ ণ,অ র ্ ধ ব ্ য ঞ ্ জ ন
অ ব ো দ ি,অ ব ো ধ ি
অ ফ া ত ্ র ে,অ প া ত ্ র ে
অ ক ্ স ু ণ ্ ণ গ ত ি,অ ক ্ ষ ু ণ ্ ন গ ত ি
অ র ্ জ ু ণ ে র,অ র ্ জ ু ন ে র
আ ভ র ন ব ি স ে ষ,আ ব র ণ ব ি শ ে ষ
অ স দ ব ি ফ ্ র া য়,অ স দ ভ ি প ্ র া য়
অ স ্ ট ধ া,অ ষ ্ ট ধ া
অ জ ষ হ ্,অ জ শ হ ্
অ ণ ু ষ ্ ঠ া ত া,অ ন ু ষ ্ ঠ া ত া
অ প ্ র া ম া ন ি ক,অ প ্ র া ম া ণ ি ক
আ ম া ধ ে র ি,আ ম া দ ে র ি
আ ত ্ ম ষ ম া হ ি ত ি,আ ত ্ ম স ম া হ ি ত ি
অ ষ ্ ভ স ্ ত ি,অ স ্ ব স ্ ত ি
আ ঁ ষ শ ূ ন ্ জ,আ ঁ শ শ ূ ন ্ য
আ ধ ে শ ধ া ত া,আ দ ে শ দ া ত া
আ ঊ য় া ল,আ উ য় া ল
আ ফ া ত,আ প া ত
অ ণ ু ফ প ত ্ ত ি,অ ন ু প প ত ্ ত ি
আ য ক া ল ক া র,আ জ ক া ল ক া র
অ ক ু ত ো ব য় ্,অ ক ু ত ো ভ য় ্
আ ত ্ ম ভ ঞ ্ চ ক,আ ত ্ ম ব ঞ ্ চ ক
অ ্ য া ল া র ্ ঝ ি,অ ্ য া ল া র ্ জ ি
আ ত ্ ম ভ ি হ ্ ব ল ত া,আ ত ্ ম ব ি হ ্ ব ল ত া
অ ণ ু ক ূ ল ব া ব ে,অ ন ু ক ূ ল ভ া ব ে
অ ল ্ ফ স ্ ব ল ্ ফ,অ ল ্ প স ্ ব ল ্ প
অ দ র ্ ম া চ া র ী,অ ধ র ্ ম া চ া র ী
অ ধ ্ ঝ ক ্ ষ,অ ধ ্ য ক ্ ষ
অ চ ি ণ ্ ত ি ত,অ চ ি ন ্ ত ি ত
অ ন ্ ধ ক া র ভ ি শ ি ষ ্ ট,অ ন ্ ধ ক া র ব ি শ ি ষ ্ ট
আ ধ া জ ল,আ দ া জ ল
অ ন ু ম ো ধ ন ঝ ো গ ্ ঝ,অ ন ু ম ো দ ন য ো গ ্ য
আ প ণ ি র,আ প ন ি র
অ ণ ্ য ক া ল ে,অ ন ্ য ক া ল ে
আ ত ্ ম গ ু ফ ্ ত া,আ ত ্ ম গ ু প ্ ত া
অ য ্ ঞ ে য় ভ া দ,অ জ ্ ঞ ে য় ব া দ
আ ণ ত া,আ ন ত া
অ ণ ু য া ত ্ র,অ ন ু য া ত ্ র
অ ষ ্ ত ্ র ি দ ল,অ স ্ ত ্ র ি দ ল
অ ণ ু র া গ য ু ক ্ ত,অ ন ু র া গ য ু ক ্ ত
অ ও ষ ত ্,অ ও স ত ্
আ ট ক ফ া ল ে,আ ট ক প া ল ে
অ ণ ম ন ী য়,অ ন ম ন ী য়
অ ্ য া ভ ্,অ ্ য া ব ্
